id,time,space
1,0.00728297,88
2,0.00342369,88
3,0.00200033,88
4,0.00318956,88
5,0.00199962,120
6,0.00200057,120
7,0.00200438,120
8,0.0150666,120
9,0.00892377,184
10,0.00451708,184
11,0.00125575,184
12,0.00199866,184
13,0.00199723,184
14,0.00238228,184
15,0.00299931,184
16,0.00300241,184
17,0.00199938,248
18,0.00238252,248
19,0.00200152,248
20,0.00151372,248
21,0.0010035,248
22,0.00200295,248
23,0.00100517,248
24,0.00200248,248
25,0.00199795,312
26,0.00111461,312
27,0.00100231,312
28,0.00200248,312
29,0.00316858,312
30,0.00200295,312
31,0.00252986,312
32,0.00200486,312
33,0.0029974,376
34,0.00199723,376
35,0.00300169,376
36,0.00200367,376
37,0.00199986,376
38,0.00199914,376
39,0.00199842,376
40,0.00200033,376
41,0.00200057,472
42,0.00247121,472
43,0.00200105,472
44,0.00100064,472
45,0.00300145,472
46,0.00251722,472
47,0.00220299,472
48,0.00200057,472
49,0.00200295,472
50,0.00199986,472
51,0.00251484,472
52,0.00199652,472
53,0.00200105,568
54,0.00140905,568
55,0.00100231,568
56,0.00200438,568
57,0.0023284,568
58,0.0019989,568
59,0.00199866,568
60,0.00143862,568
61,0.00100136,568
62,0.00231981,568
63,0.00231218,568
64,0.00200129,568
65,0.009547,664
66,0.011543,664
67,0.00200105,664
68,0.00233722,664
69,0.000998974,664
70,0.00200224,664
71,0.00238276,664
72,0.00199771,664
73,0.00303173,664
74,0.00200081,664
75,0.00199914,664
76,0.00221729,664
77,0.00200105,792
78,0.00252986,792
79,0.00300097,792
80,0.00151825,792
81,0.00300288,792
82,0.00202441,792
83,0.000997543,792
84,0.00300336,792
85,0.00300097,792
86,0.00199938,792
87,0.00200176,792
88,0.00151038,792
89,0.00237608,792
90,0.000998735,792
91,0.00200105,792
92,0.00200009,792
93,0.00199962,920
94,0.00127912,920
95,0.00200033,920
96,0.00199962,920
97,0.00241971,920
98,0.00199842,920
99,0.00256872,920
100,0.00200176,920
101,0.00251079,920
102,0.00200105,920
103,0.00100422,920
104,0.00100112,920
105,0.0019989,920
106,0.00199771,920
107,0.00249267,920
108,0.00199938,920
109,0.00100183,1080
110,0.00201893,1080
111,0.00200033,1080
112,0.0010004,1080
113,0.00400329,1080
114,0.00400972,1080
115,0.00554442,1080
116,0.00851417,1080
117,0.00303078,1080
118,0.00199842,1080
119,0.00100064,1080
120,0.00300121,1080
121,0.00300097,1080
122,0.00200176,1080
123,0.00199676,1080
124,0.00250959,1080
125,0.00100327,1080
126,0.00100136,1080
127,0.00127339,1080
128,0.00200033,1080
129,0.0022285,1240
130,0.00100064,1240
131,0.00100112,1240
132,0.00242615,1240
133,0.00199652,1240
134,0.00251317,1240
135,0.00100064,1240
136,0.0010016,1240
137,0.00200081,1240
138,0.00245786,1240
139,0.00300097,1240
140,0.00251269,1240
141,0.00199866,1240
142,0.00251651,1240
143,0.0019989,1240
144,0.00200033,1240
145,0.00200057,1240
146,0.000999689,1240
147,0.0024569,1240
148,0.00200033,1240
149,0.00200129,1432
150,0.00100088,1432
151,0.00199962,1432
152,0.0025115,1432
153,0.0020256,1432
154,0.00200081,1432
155,0.00205183,1432
156,0.00100136,1432
157,0.00200009,1432
158,0.00251174,1432
159,0.00199986,1432
160,0.0010016,1432
161,0.00204062,1432
162,0.00299931,1432
163,0.00200033,1432
164,0.0146008,1432
165,0.00200152,1432
166,0.00220919,1432
167,0.00199866,1432
168,0.00100303,1432
169,0.00100112,1432
170,0.00199962,1432
171,0.00200057,1432
172,0.00260758,1432
173,0.00200248,1656
174,0.00200009,1656
175,0.00200558,1656
176,0.00199866,1656
177,0.00202656,1656
178,0.00200319,1656
179,0.00308585,1656
180,0.00199771,1656
181,0.000999689,1656
182,0.00253868,1656
183,0.00200081,1656
184,0.00100255,1656
185,0.00216484,1656
186,0.00299883,1656
187,0.00199986,1656
188,0.00199986,1656
189,0.00200319,1656
190,0.0015099,1656
191,0.00200129,1656
192,0.00299978,1656
193,0.00200415,1656
194,0.00300217,1656
195,0.00215983,1656
196,0.00199699,1656
197,0.00100231,1656
198,0.00149035,1656
199,0.00100279,1656
200,0.00199986,1656
201,0.00306749,1912
202,0.00200152,1912
203,0.00217772,1912
204,0.00200176,1912
205,0.00305605,1912
206,0.00100112,1912
207,0.0010004,1912
208,0.00253725,1912
209,0.00199866,1912
210,0.00199938,1912
211,0.00132704,1912
212,0.00200129,1912
213,0.00200176,1912
214,0.00216699,1912
215,0.00200009,1912
216,0.00251007,1912
217,0.00200653,1912
218,0.00200272,1912
219,0.00231671,1912
220,0.00199556,1912
221,0.00252223,1912
222,0.00199866,1912
223,0.00100064,1912
224,0.00145769,1912
225,0.00200105,1912
226,0.00151443,1912
227,0.00100255,1912
228,0.00200081,1912
229,0.00314856,1912
230,0.00199842,1912
231,0.0010016,1912
232,0.00101829,1912
233,0.00300097,2200
234,0.00151253,2200
235,0.00300264,2200
236,0.00200081,2200
237,0.00200081,2200
238,0.00300789,2200
239,0.000999212,2200
240,0.000999451,2200
241,0.00200224,2200
242,0.00200033,2200
243,0.0019958,2200
244,0.00317073,2200
245,0.00199914,2200
246,0.00301051,2200
247,0.00652122,2200
248,0.00199986,2200
249,0.00253725,2200
250,0.0125525,2200
251,0.00299859,2200
252,0.00200343,2200
253,0.00300121,2200
254,0.00101924,2200
255,0.00299907,2200
256,0.00200033,2200
257,0.00200367,2200
258,0.00199771,2200
259,0.00151086,2200
260,0.00100207,2200
261,0.00200105,2200
262,0.00251174,2200
263,0.00299716,2200
264,0.00200033,2200
265,0.00200486,2200
266,0.0019989,2200
267,0.00150967,2200
268,0.00200152,2200
269,0.00100136,2520
270,0.00100207,2520
271,0.00199819,2520
272,0.00299978,2520
273,0.00252247,2520
274,0.00200081,2520
275,0.00252986,2520
276,0.00299907,2520
277,0.00100112,2520
278,0.00253582,2520
279,0.00200081,2520
280,0.00199986,2520
281,0.00207829,2520
282,0.0019989,2520
283,0.0025146,2520
284,0.00200391,2520
285,0.00200152,2520
286,0.00151086,2520
287,0.00100112,2520
288,0.00199938,2520
289,0.00251913,2520
290,0.00199914,2520
291,0.00100231,2520
292,0.00200057,2520
293,0.00200176,2520
294,0.00253892,2520
295,0.00200057,2520
296,0.00199986,2520
297,0.00300241,2520
298,0.00199938,2520
299,0.00143504,2520
300,0.00100088,2520
301,0.00200176,2520
302,0.0023253,2520
303,0.00200272,2520
304,0.0025425,2520
305,0.00200009,2520
306,0.00200105,2520
307,0.00219703,2520
308,0.00199866,2520
309,0.00200033,2872
310,0.000998259,2872
311,0.00200176,2872
312,0.00199938,2872
313,0.00100231,2872
314,0.00200009,2872
315,0.00151253,2872
316,0.00100112,2872
317,0.00100064,2872
318,0.00245309,2872
319,0.00294876,2872
320,0.00328779,2872
321,0.00199842,2872
322,0.00255084,2872
323,0.00200081,2872
324,0.00200152,2872
325,0.0010016,2872
326,0.00299978,2872
327,0.00156498,2872
328,0.00200272,2872
329,0.00199962,2872
330,0.00192332,2872
331,0.00099802,2872
332,0.00100231,2872
333,0.00200081,2872
334,0.0010004,2872
335,0.0010004,2872
336,0.00304246,2872
337,0.00200081,2872
338,0.00100303,2872
339,0.00199866,2872
340,0.00299883,2872
341,0.00254035,2872
342,0.00199938,2872
343,0.00200129,2872
344,0.0031445,2872
345,0.00200486,2872
346,0.00251293,2872
347,0.00199986,2872
348,0.00200248,2872
349,0.0010047,2872
350,0.00200462,2872
351,0.001508,2872
352,0.00200057,2872
353,0.00199819,3256
354,0.0021944,3256
355,0.00200248,3256
356,0.00151205,3256
357,0.00200081,3256
358,0.00199986,3256
359,0.00198698,3256
360,0.00200272,3256
361,0.00100017,3256
